Title,UPC,Product Type,Price (Excl. Tax),Price (Incl. Tax),Tax,Availability,Rating,Number of Reviews,Description
The Secret Garden,abbb492978ff656d,Books,Â£15.08,Â£15.08,Â£0.00,In stock (5 available),Four,0,"When orphaned Mary Lennox comes to live at her uncle's great house on the Yorkshire Moors, she finds it full of secrets. The mansion has nearly one hundred rooms, and her uncle keeps himself locked up. And at night, she hears the sound of crying down one of the long corridors.The gardens surrounding the large property are Mary's only escape. Then, Mary discovers a secret g When orphaned Mary Lennox comes to live at her uncle's great house on the Yorkshire Moors, she finds it full of secrets. The mansion has nearly one hundred rooms, and her uncle keeps himself locked up. And at night, she hears the sound of crying down one of the long corridors.The gardens surrounding the large property are Mary's only escape. Then, Mary discovers a secret garden, surrounded by walls and locked with a missing key. One day, with the help of two unexpected companions, she discovers a way in. Is everything in the garden dead, or can Mary bring it back to life? ...more"
The Metamorphosis,93379e3a2072a01b,Books,Â£28.58,Â£28.58,Â£0.00,In stock (5 available),One,0,"As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off comp As Gregor Samsa awoke one morning from uneasy dreams he found himself transformed in his bed into a gigantic insect. He was laying on his hard, as it were armor-plated, back and when he lifted his head a little he could see his domelike brown belly divided into stiff arched segments on top of which the bed quilt could hardly keep in position and was about to slide off completely. His numerous legs, which were pitifully thin compared to the rest of his bulk, waved helplessly before his eyes."" With this startling, bizarre, yet surprisingly funny first opening, Kafka begins his masterpiece, The Metamorphosis. It is the story of a young man who, transformed overnight into a giant beetle-like insect, becomes an object of disgrace to his family, an outsider in his own home, a quintessentially alienated man. A harrowing -- though absurdly comic -- meditation on human feelings of inadequacy, guilt, and isolation, The Metamorphosis has taken its place as one of the most widely read and influential works of twentieth-century fiction. As W.H. Auden wrote, ""Kafka is important to us because his predicament is the predicament of modern man."" ...more"
The Pilgrim's Progress,6053ddf69c967d5f,Books,Â£50.26,Â£50.26,Â£0.00,In stock (4 available),Two,0,"Often rated as important as the Bible as a Christian document, this famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial Cit Often rated as important as the Bible as a Christian document, this famous story of man's progress through life in search of salvation remains one of the most entertaining allegories of faith ever written. Set against realistic backdrops of town and country, the powerful drama of the pilgrim's trials and temptations follows him in his harrowing journey to the Celestial City.Along a road filled with monsters and spiritual terrors, Christian confronts such emblematic characters as Worldly Wiseman, Giant Despair, Talkative, Ignorance, and the demons of the Valley of the Shadow of Death. But he is also joined by Hopeful and Faithful.An enormously influential 17th-century classic, universally known for its simplicity, vigor, and beauty of language, The Pilgrim's Progress remains one of the most widely read books in the English language. ...more"
The Hound of the Baskervilles (Sherlock Holmes #5),6587f46697fc4443,Books,Â£14.82,Â£14.82,Â£0.00,In stock (4 available),Two,0,"Holmes and Watson are faced with their most terrifying case yet. The legend of the devil-beast that haunts the moors around the Baskerville family's home warns the descendants of that ancient clan never to venture out in those dark hours when the power of evil is exalted. Now, the most recent Baskerville, Sir Charles, is dead and the footprints of a giant hound have been f Holmes and Watson are faced with their most terrifying case yet. The legend of the devil-beast that haunts the moors around the Baskerville family's home warns the descendants of that ancient clan never to venture out in those dark hours when the power of evil is exalted. Now, the most recent Baskerville, Sir Charles, is dead and the footprints of a giant hound have been found near his body. Will the new heir meet the same fate? ...more"
Little Women (Little Women #1),deda806b68b0aa11,Books,Â£28.07,Â£28.07,Â£0.00,In stock (4 available),Four,0,"Little Women is the heartwarming story of the March family that has thrilled generations of readers. It is the story of four sisters--Jo, Meg, Amy and Beth-- and of the courage, humor and ingenuity they display to survive poverty and the absence of their father during the Civil War."
Gone with the Wind,23310ce84d3c9f85,Books,Â£32.49,Â£32.49,Â£0.00,In stock (4 available),Three,0,"Margaret Mitchell's epic novel of love and war won the Pulitzer Prize and one of the most popular and celebrated movies of all time. Many novels have been written about the Civil War and its aftermath. None take us into the burning fields and cities of the American South as Gone With the Wind does, creating haunting scenes and thrilling portraits of characters so vivid tha Margaret Mitchell's epic novel of love and war won the Pulitzer Prize and one of the most popular and celebrated movies of all time. Many novels have been written about the Civil War and its aftermath. None take us into the burning fields and cities of the American South as Gone With the Wind does, creating haunting scenes and thrilling portraits of characters so vivid that we remember their words and feel their fear and hunger for the rest of our lives. In the two main characters, the white-shouldered, irresistible Scarlett and the flashy, contemptuous Rhett, Margaret Mitchell not only conveyed a timeless story of survival under the harshest of circumstances, she also created two of the most famous lovers in the English-speaking world since Romeo and Juliet. ...more"
Candide,2798974abc8a58a8,Books,Â£58.63,Â£58.63,Â£0.00,In stock (4 available),Three,0,"Brought up in the household of a powerful Baron, Candide is an open-minded young man, whose tutor, Pangloss, has instilled in him the belief that 'all is for the best'. But when his love for the Baron's rosy-cheeked daughter is discovered, Candide is cast out to make his own way in the world. And so he and his various companions begin a breathless tour of Europe, South Ame Brought up in the household of a powerful Baron, Candide is an open-minded young man, whose tutor, Pangloss, has instilled in him the belief that 'all is for the best'. But when his love for the Baron's rosy-cheeked daughter is discovered, Candide is cast out to make his own way in the world. And so he and his various companions begin a breathless tour of Europe, South America and Asia, as an outrageous series of disasters befall them - earthquakes, syphilis, a brush with the Inquisition, murder - sorely testing the young hero's optimism. ...more"
Animal Farm,1451b55e5e56bb89,Books,Â£57.22,Â£57.22,Â£0.00,In stock (4 available),Three,0,"Tired of their servitude to man, a group of farm animals revolt and establish their own society, only to be betrayed into worse servitude by their leaders, the pigs, whose slogan becomes: ""All animals are equal, but some animals are more equal than others."" This 1945 satire addresses the socialist/communist philosophy of Stalin in the Soviet Union."
Wuthering Heights,5a7ff9aaa3168878,Books,Â£17.73,Â£17.73,Â£0.00,In stock (3 available),Three,0,"Wuthering Heights is a wild, passionate story of the intense and almost demonic love between Catherine Earnshaw and Heathcliff, a foundling adopted by Catherine's father. After Mr Earnshaw's death, Heathcliff is bullied and humiliated by Catherine's brother Hindley and wrongly believing that his love for Catherine is not reciprocated, leaves Wuthering Heights, only to retu Wuthering Heights is a wild, passionate story of the intense and almost demonic love between Catherine Earnshaw and Heathcliff, a foundling adopted by Catherine's father. After Mr Earnshaw's death, Heathcliff is bullied and humiliated by Catherine's brother Hindley and wrongly believing that his love for Catherine is not reciprocated, leaves Wuthering Heights, only to return years later as a wealthy and polished man. He proceeds to exact a terrible revenge for his former miseries. The action of the story is chaotic and unremittingly violent, but the accomplished handling of a complex structure, the evocative descriptions of the lonely moorland setting and the poetic grandeur of vision combine to make this unique novel a masterpiece of English literature. ...more"
The Picture of Dorian Gray,b9f6305a3d650e2c,Books,Â£29.70,Â£29.70,Â£0.00,In stock (3 available),Two,0,"Introduction by Jeffrey Eugenides Written in his distinctively dazzling manner, Oscar Wildeâs story of a fashionable young man who sells his soul for eternal youth and beauty is the authorâs most popular work. The tale of Dorian Grayâs moral disintegration caused a scandal when it ï¬rst appeared in 1890, but though Wilde was attacked for the novelâs corrupting inï¬uence, he ï»¿Introduction by Jeffrey Eugenides Â ï»¿Written in his distinctively dazzling manner, Oscar Wildeâs story of a fashionable young man who sells his soul for eternal youth and beauty is the authorâs most popular work. The tale of Dorian Grayâs moral disintegration caused a scandal when it ï¬rst appeared in 1890, but though Wilde was attacked for the novelâs corrupting inï¬uence, he responded that there is, in fact, âa terrible moral in Dorian Gray.â Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wildeâs homosexual liaisons, which resulted in his imprisonment. Of Dorian Grayâs relationship to autobiography, Wilde noted in a letter, âBasil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to beâin other ages, perhaps.â ...more"
